,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,4,5,6,40,68,68,68,68,68,68,74.0
Reserves,3,13,51,163,256,680,775,858,861,897,993,1135.0
Preference Capital,0,5,0,2,3,0,0,0,0,0,0,
Borrowings,11,86,114,177,197,239,274,320,291,335,370,360.0
Other Liabilities,37,221,367,529,617,747,934,1119,1025,1081,1193,1124.0
Total Liabilities,54,324,538,876,1109,1734,2051,2364,2246,2381,2624,2693.0
Fixed Assets,6,88,169,233,326,410,541,659,664,694,659,631.0
CWIP,0,0,0,8,7,0,4,5,6,14,6,19.0
Investments,0,5,5,0,0,1,1,1,2,1,1,2.0
Other Assets,48,231,364,635,776,1323,1506,1699,1574,1673,1957,2041.0
Total Assets,54,324,538,876,1109,1734,2051,2364,2246,2381,2624,2693.0
