,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,4,41,37,-17,136,85,70,357,77,34,101
Cash from Investing Activity,-21,-122,-55,-71,-120,-414,-16,-277,-122,-23,-43
Cash from Financing Activity,19,84,15,92,-9,331,-38,-3,-53,1,-34
Net Cash Flow,2,2,-3,4,7,2,17,78,-98,12,25
