,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,14.73,1.85,-0.04,-2.32,-0.17,-0.38,-0.08,0.09,0.39,-0.06,0.33,-0.3
Cash from Investing Activity,-26.0,-3.55,-1.62,0.04,0.02,0.02,0.04,0.0,0.01,0.01,0.01,0.04
Cash from Financing Activity,10.1,1.96,0.88,2.29,0.11,0.48,0.0,0.01,-0.55,0.0,-0.22,0.13
Net Cash Flow,-1.17,0.26,-0.78,0.01,-0.04,0.13,-0.04,0.1,-0.16,-0.05,0.12,-0.13
