,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,7.51,7.99,8.98,5.87,9.2,8.42,7.71,12.35,17.72,9.09,10.25,12.14,10.02
Expenses,4.4,4.79,6.82,4.41,6.84,5.16,6.73,9.93,14.54,8.59,8.08,9.29,7.84
Operating Profit,3.11,3.2,2.16,1.46,2.36,3.26,0.98,2.42,3.18,0.5,2.17,2.85,2.18
OPM %,41.41,40.05,24.05,24.87,25.65,38.72,12.71,19.6,17.95,5.5,21.17,23.48,21.76
Other Income,1.41,1.13,1.22,1.17,1.73,1.32,1.63,1.43,1.3,1.08,-0.79,1.86,1.9
Interest,0.25,0.15,0.16,0.07,0.05,0.07,0.1,0.15,0.1,0.09,0.12,0.09,0.12
Depreciation,0.48,0.46,0.47,0.52,0.51,0.51,0.5,0.5,0.52,0.51,0.51,0.49,0.55
Profit before tax,3.79,3.72,2.75,2.04,3.53,4.0,2.01,3.2,3.86,0.98,0.75,4.13,3.41
Tax %,0.0,0.0,145.82,0.0,15.01,39.25,23.38,8.12,14.51,-24.49,252.0,15.74,13.78
Net Profit,3.78,3.71,-1.25,2.04,2.99,2.43,1.55,2.94,3.3,1.23,-1.14,3.48,2.93
EPS in Rs,3.5,3.44,-1.05,1.71,2.5,2.03,1.3,2.46,2.76,1.03,-0.95,2.91,2.45
