,Mar 2008,Mar 2009,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,42.59,31.63,22.53,24.54,18.0,22.71,23.78,21.73,21.27,28.79,31.19,49.42,41.50
Expenses,32.63,32.52,19.62,21.99,12.64,16.25,17.68,16.89,19.92,18.51,23.12,41.13,33.80
Operating Profit,9.96,-0.89,2.91,2.55,5.36,6.46,6.1,4.84,1.35,10.28,8.07,8.29,7.70
OPM %,23.39,-2.81,12.92,10.39,29.78,28.45,25.65,22.27,6.35,35.71,25.87,16.77,18.55
Other Income,5.68,8.12,1.23,1.91,3.27,3.79,2.71,9.94,7.46,4.4,5.84,3.0,4.05
Interest,1.64,3.42,1.05,0.92,4.28,3.32,2.25,1.79,1.3,0.73,0.29,0.46,0.42
Depreciation,1.17,1.7,1.25,1.11,1.81,1.85,1.89,1.89,1.92,1.91,2.04,2.04,2.06
Profit before tax,12.83,2.11,1.84,2.43,2.54,5.08,4.67,11.1,5.59,12.04,11.58,8.79,9.27
Tax %,4.21,16.59,31.52,4.53,32.28,24.8,21.2,22.43,21.29,33.31,22.28,27.99,
Net Profit,12.25,1.52,1.25,2.33,1.72,3.82,3.68,8.62,4.41,8.04,9.01,6.32,6.50
EPS in Rs,10.02,1.5,1.16,2.16,1.59,3.54,3.41,7.98,4.08,6.73,7.54,5.29,5.44
