,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,40.02,56.09,66.88,56.02,62.93,61.15,66.4,58.63,73.54,70.08,64.42,59.35,60.91
Expenses,39.31,50.69,62.23,51.54,57.39,56.46,62.42,55.97,71.93,64.19,60.12,54.24,56.22
Operating Profit,0.71,5.4,4.65,4.48,5.54,4.69,3.98,2.66,1.61,5.89,4.3,5.11,4.69
OPM %,1.77,9.63,6.95,8.0,8.8,7.67,5.99,4.54,2.19,8.4,6.67,8.61,7.7
Other Income,0.36,0.68,0.11,0.25,0.09,0.15,0.82,1.85,0.06,1.36,1.9,0.32,1.08
Interest,0.57,1.17,0.52,0.72,1.05,0.8,1.06,0.73,0.56,1.1,0.98,1.21,1.45
Depreciation,3.23,3.17,3.15,3.1,3.12,3.08,3.04,3.08,2.95,2.65,2.5,2.53,2.72
Profit before tax,-2.73,1.74,1.09,0.91,1.46,0.96,0.7,0.7,-1.84,3.5,2.72,1.69,1.6
Tax %,16.12,-47.7,133.03,12.09,25.34,50.0,-10.0,-65.71,41.85,20.57,72.06,39.05,18.12
Net Profit,-2.29,2.57,-0.36,0.8,1.09,0.48,0.76,1.15,-1.08,2.77,0.76,1.03,1.3
EPS in Rs,-6.29,7.06,-0.99,2.2,3.0,1.32,2.09,3.16,-2.97,7.61,2.09,2.83,3.57
