,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,18.4,113.74,165.28,78.87
Expenses,0.00,18.0,110.93,164.74,74.78
Operating Profit,0.00,0.4,2.81,0.54,4.09
OPM %,,2.17,2.47,0.33,5.19
Other Income,0.19,0.02,3.3,1.15,-0.73
Interest,0.00,0.01,0.09,0.38,0.11
Depreciation,0.00,0.0,0.0,0.16,0.27
Profit before tax,0.19,0.41,6.02,1.15,2.98
Tax %,26.32,0.0,30.23,33.04,
Net Profit,0.14,0.51,4.44,0.9,2.57
EPS in Rs,2.70,9.84,85.63,2.13,6.08
