,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,66.0,92.0,104.0,149.0,130.0,105.0,129.0,159.0,182
Expenses,62.0,83.0,88.0,118.0,99.0,82.0,89.0,116.0,134
Operating Profit,4.0,9.0,16.0,31.0,31.0,23.0,40.0,43.0,48
OPM %,6.0,9.0,15.0,21.0,24.0,21.0,31.0,27.0,26
Other Income,1.0,0.0,8.0,7.0,2.0,19.0,12.0,8.0,12
Interest,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2
Depreciation,2.0,1.0,2.0,1.0,6.0,2.0,4.0,5.0,6
Profit before tax,1.0,6.0,21.0,35.0,26.0,38.0,47.0,44.0,52
Tax %,88.0,19.0,12.0,38.0,25.0,17.0,32.0,29.0,
Net Profit,0.0,5.0,18.0,22.0,19.0,32.0,32.0,31.0,37
EPS in Rs,-0.35,12.23,50.09,58.21,55.45,102.04,102.4,100.21,119.64
