,2023-03-01
Depreciation,0.08
EPS in Rs,0.01
Expenses,0.42
Interest,0.00
Net Profit,0.61
OPM %,
Operating Profit,-0.42
Other Income,1.33
Profit before tax,0.83
Sales,0.00
Tax %,26.51
