,2023-03-01,2023-09-01
Equity Capital,42.37,42.37
Reserves,,20.9
Borrowings,,1.49
Other Liabilities,,16.01
Total Liabilities,,80.77
Fixed Assets,,13.8
CWIP,,0.0
Investments,,0.4
Other Assets,,66.57
Total Assets,,80.77
