,2022-09-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.00
Expenses,0.10,0.10,0.36
Operating Profit,-0.10,-0.10,-0.36
OPM %,,,
Other Income,0.34,0.19,0.19
Interest,0.00,0.00,0.00
Depreciation,0.02,0.02,0.02
Profit before tax,0.22,0.07,-0.19
Tax %,0.00,0.00,0.00
Net Profit,0.22,0.08,-0.19
EPS in Rs,0.01,0.00,-0.00
