,Mar 2023,TTM
Sales,5.52,9.34
Expenses,4.8,8.34
Operating Profit,0.72,1.00
OPM %,13.04,10.71
Other Income,0.08,0.10
Interest,0.16,0.16
Depreciation,0.69,0.56
Profit before tax,-0.05,0.38
Tax %,60.0,
Net Profit,-0.02,0.35
EPS in Rs,-0.1,1.82
