,Mar 2011,Mar 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.16,8.23,6.12,8.03,9.93,13.79,26.73,48.69,43.94,52.95,64.44,79.71,79.98
Expenses,8.2,8.34,5.64,7.11,8.71,12.35,24.14,45.81,41.19,49.15,59.27,73.43,74.58
Operating Profit,-0.04,-0.11,0.48,0.92,1.22,1.44,2.59,2.88,2.75,3.8,5.17,6.28,5.40
OPM %,-0.49,-1.34,7.84,11.46,12.29,10.44,9.69,5.91,6.26,7.18,8.02,7.88,6.75
Other Income,0.17,0.38,0.06,0.01,0.06,0.06,0.08,-0.01,0.41,0.3,0.46,2.33,3.61
Interest,0.17,0.22,0.22,0.37,0.44,0.39,0.3,0.22,0.3,0.26,0.42,0.96,1.19
Depreciation,0.0,0.0,0.28,0.51,0.74,0.96,1.19,1.29,1.45,1.44,1.28,1.82,2.18
Profit before tax,-0.04,0.05,0.04,0.05,0.1,0.15,1.18,1.36,1.41,2.4,3.93,5.83,5.64
Tax %,0.0,0.0,0.0,40.0,40.0,13.33,27.97,37.5,18.44,27.5,24.17,28.64,
Net Profit,-0.04,0.05,0.05,0.04,0.06,0.14,0.85,0.85,1.14,1.75,2.98,4.15,4.09
EPS in Rs,-0.8,1.0,1.0,0.8,1.2,2.8,1.16,0.84,1.13,1.73,2.95,4.11,4.05
