,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,14.19,12.11,14.6,19.69,18.3,20.25,21.48,21.19,17.11,22.71,18.97
Expenses,13.53,12.05,13.46,18.39,15.66,18.15,19.48,19.53,16.59,21.04,17.42
Operating Profit,0.66,0.06,1.14,1.3,2.64,2.1,2.0,1.66,0.52,1.67,1.55
OPM %,4.65,0.5,7.81,6.6,14.43,10.37,9.31,7.83,3.04,7.35,8.17
Other Income,0.05,0.03,0.07,0.03,0.34,0.07,0.09,0.63,1.54,0.63,0.81
Interest,0.08,0.09,0.11,0.07,0.13,0.19,0.23,0.28,0.26,0.3,0.35
Depreciation,0.4,0.29,0.29,0.29,0.41,0.4,0.4,0.45,0.56,0.53,0.64
Profit before tax,0.23,-0.29,0.81,0.97,2.44,1.58,1.46,1.56,1.24,1.47,1.37
Tax %,43.48,-24.14,3.7,48.45,24.59,34.18,27.4,23.72,29.84,31.29,25.55
Net Profit,0.12,-0.36,0.78,0.5,1.84,1.04,1.05,1.19,0.87,1.01,1.02
EPS in Rs,0.12,-0.36,0.77,0.5,1.82,1.03,1.04,1.18,0.86,1.0,1.01
