,2022-03-01,2023-03-01,2023-09-01
Equity Capital,116,27,27
Reserves,430,743,858
Borrowings,12,129,133
Other Liabilities,390,806,880
Total Liabilities,947,1705,1898
Fixed Assets,119,597,624
CWIP,2,12,0
Investments,99,283,353
Other Assets,726,814,920
Total Assets,947,1705,1898
