,2022-03-01,2023-03-01
Sales,1132,1362
Expenses,836,1064
Operating Profit,297,298
OPM %,26,22
Other Income,11,-6
Interest,4,17
Depreciation,42,47
Profit before tax,262,228
Tax %,23,16
Net Profit,202,192
EPS in Rs,,
