,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.16,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49,6.49
Reserves,0.24,-0.19,-0.17,-0.1,-0.02,-0.02,0.01,0.04,0.1,0.3,1.35
Borrowings,0.0,0.0,0.07,0.16,0.05,0.04,0.03,0.02,0.01,0.0,0.0
Other Liabilities,0.01,0.11,0.1,0.08,0.32,0.06,0.6000000000000001,1.12,1.69,1.21,0.24
Total Liabilities,2.41,6.41,6.49,6.63,6.84,6.57,7.13,7.67,8.29,8.0,8.08
Fixed Assets,0.1,0.11,0.15,0.12,0.09,0.33,0.25,0.19,0.11,0.08,0.06
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,2.31,6.3,6.34,6.51,6.75,6.24,6.88,7.48,8.18,7.92,8.02
Total Assets,2.41,6.41,6.49,6.63,6.84,6.57,7.13,7.67,8.29,8.0,8.08
