,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.05,0.62,3.63,2.81,0.11,0.55,0.0,0.0,0.46,0.02,0.01
Expenses,0.06,1.14,3.66,3.07,0.55,2.25,1.1,0.29,0.65,0.2,0.20
Operating Profit,-0.01,-0.52,-0.03,-0.26,-0.44,-1.7,-1.1,-0.29,-0.19,-0.18,-0.19
OPM %,-20.0,-83.87,-0.83,-9.25,-400.0,-309.09,-28.24,-650.0,-41.3,-900.0,-1900.00
Other Income,0.04,0.28,0.18,0.46,0.59,1.8,1.22,0.42,0.36,0.43,0.39
Interest,0.0,0.0,0.06,0.04,0.01,0.01,0.0,0.0,0.01,0.0,0.00
Depreciation,0.0,0.05,0.06,0.05,0.03,0.07,0.09,0.07,0.08,0.02,0.03
Profit before tax,0.03,-0.29,0.03,0.11,0.11,0.02,0.03,0.06,0.08,0.23,0.17
Tax %,33.33,31.03,66.67,36.36,27.27,50.0,33.33,33.33,37.5,13.04,
Net Profit,0.02,-0.2,0.02,0.06,0.08,0.0,0.02,0.04,0.06,0.2,0.16
EPS in Rs,0.09,-0.31,0.03,0.09,0.12,0.0,0.03,0.06,0.09,0.31,0.25
