,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.7,0.15,0.04,0.00,0.00,0.46,0.01,0.01,0.00
Expenses,0.84,0.25,0.08,0.21,0.13,0.55,0.09,0.11,0.09
Operating Profit,-0.14,-0.1,-0.04,-0.21,-0.13,-0.09,-0.08,-0.1,-0.09
OPM %,-20.0,-66.67,-100.0,,,-19.57,-800.0,-1000.0,
Other Income,0.19,0.17,0.2,0.18,0.20,0.17,0.22,0.21,0.18
Interest,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.00
Depreciation,0.04,0.04,0.03,0.03,0.06,0.02,0.02,0.01,0.02
Profit before tax,0.01,0.03,0.13,-0.06,0.01,0.06,0.12,0.1,0.07
Tax %,0.0,33.33,30.77,33.33,100.00,16.67,25.0,0.0,28.57
Net Profit,0.01,0.02,0.08,-0.05,0.01,0.05,0.09,0.11,0.05
EPS in Rs,0.02,0.03,0.12,-0.08,0.02,0.08,0.14,0.17,0.08
