,2012-03-01,2013-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.5,2.5,16.75,16.75,16.75,16.75,16.75,16.75,16.75,16.75,16.75
Reserves,-0.13,1.46,0.62,1.84,1.91,2.01,2.24,2.35,2.64,2.1,0.91
Borrowings,0.12,0.4,40.61,36.61,31.11,27.92,22.91,20.79,13.87,11.29,10.39
Other Liabilities,1.07,0.7000000000000001,3.64,1.63,5.16,6.34,10.87,4.23,4.35,3.99,4.7
Total Liabilities,1.56,5.06,61.62,56.83,54.93,53.02,52.77,44.12,37.61,34.13,32.75
Fixed Assets,0.0,0.01,33.01,27.6,23.62,20.3,17.56,15.17,14.83,13.51,12.95
CWIP,0.01,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,1.55,2.07,28.61,29.23,31.31,32.72,35.21,28.95,22.78,20.62,19.8
Total Assets,1.56,5.06,61.62,56.83,54.93,53.02,52.77,44.12,37.61,34.13,32.75
