,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,71.0,26.0,33.0,13.0,23.0,18.0,24.0,58.0,67.0,87.0
Expenses,64.0,23.0,29.0,11.0,19.0,15.0,21.0,44.0,55.0,67.0
Operating Profit,7.0,4.0,4.0,3.0,4.0,3.0,3.0,14.0,12.0,20.0
OPM %,10.0,14.0,13.0,19.0,18.0,17.0,11.0,24.0,18.0,23.0
Other Income,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0
Interest,4.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,5.0
Depreciation,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
Profit before tax,3.0,1.0,0.0,-0.0,0.0,0.0,-0.0,9.0,8.0,12.0
Tax %,23.0,57.0,-40.0,-56.0,-89.0,-9.0,238.0,30.0,32.0,35.0
Net Profit,2.0,0.0,0.0,-0.0,1.0,0.0,0.0,6.0,6.0,8.0
EPS in Rs,2.19,0.25,0.08,-0.43,0.92,0.52,0.11,6.75,5.44,7.83
