,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,35.14,-5.82,6.94,37.66
Cash from Investing Activity,-38.59,3.92,-0.06,-17.21
Cash from Financing Activity,0.73,1.13,-5.91,0.05
Net Cash Flow,-2.73,-0.77,0.97,20.5
