,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10.58,20.33,20.33,20.75,20.74
Reserves,146.7,60.17,51.46,49.81,42.04
Borrowings,0.0,0.0,0.0,0.0,0.0
Other Liabilities,67.95,44.06,45.94,44.61,44.13
Total Liabilities,225.23,124.56,117.73,115.17,106.92
Fixed Assets,122.17,49.62,36.01,22.63,16.33
CWIP,6.72,1.52,1.52,0.0,0.0
Investments,6.7,8.25,12.07,29.42,29.42
Other Assets,89.64,65.17,68.13,63.12,61.17
Total Assets,225.23,124.56,117.73,115.17,106.92
