,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,284.53,107.38,38.04,31.29,22.95
Expenses,265.38,104.01,33.89,28.59,26.34
Operating Profit,19.15,3.37,4.15,2.7,-3.39
OPM %,6.73,3.14,10.91,8.63,-14.77
Other Income,5.18,9.83,7.8,9.81,9.83
Interest,0.46,0.22,0.08,0.38,0.34
Depreciation,22.86,17.49,14.04,13.88,13.33
Profit before tax,1.01,-4.51,-2.17,-1.75,-7.23
Tax %,47.52,10.64,-14.75,-0.0,
Net Profit,0.53,-4.03,-2.5,-1.76,-7.23
EPS in Rs,,-0.21,-0.14,-0.08,-0.35
