,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,65.21,63.31,63.31,63.3,63.3,63.3,63.29,63.27
FIIs,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Public,34.79,36.68,36.69,36.7,36.7,36.7,36.71,36.73
No. of Shareholders,7477.0,11130.0,11311.0,10486.0,9940.0,10662.0,10337.0,10383.0
