,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03
Reserves,0.21,0.22,0.23,0.12,0.15,0.05,0.04,0.09,0.24,0.25,0.3
Borrowings,0.0,0.25,0.81,0.0,0.0,0.0,0.0,0.0,0.72,0.77,2.05
Other Liabilities,1.86,1.95,2.18,2.23,1.85,1.87,1.9,1.96,1.98,1.87,5.5600000000000005
Total Liabilities,12.1,12.45,13.25,12.38,12.03,11.95,11.97,12.08,12.97,12.92,17.94
Fixed Assets,0.02,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,6.55,6.66,6.97,2.49,5.05,5.25,5.03,4.14,4.2,3.74,1.7000000000000002
Other Assets,5.53,5.74,6.26,9.87,6.96,6.68,6.92,7.92,8.75,9.16,16.22
Total Assets,12.1,12.45,13.25,12.38,12.03,11.95,11.97,12.08,12.97,12.92,17.94
