,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,11.81,74.21,26.8,10.16,9.01,19.64,17.14
Expenses,11.82,65.82,28.23,9.72,9.06,19.93,17.91
Operating Profit,-0.01,8.39,-1.43,0.44,-0.05,-0.29,-0.77
OPM %,-0.08,11.31,-5.34,4.33,-0.55,-1.48,-4.49
Other Income,-0.64,0.64,0.4,0.64,2.27,1.74,2.01
Interest,0.0,0.69,0.24,0.1,0.01,0.01,0.00
Depreciation,0.01,4.1,3.66,1.7,0.98,0.3,-0.04
Profit before tax,-0.66,4.24,-4.93,-0.72,1.23,1.14,1.28
Tax %,0.0,5.19,8.32,2.78,65.85,21.05,
Net Profit,-0.66,4.02,-4.51,-0.69,0.42,0.9,0.96
EPS in Rs,-0.22,1.33,-1.49,-0.23,0.14,0.09,0.09
