,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.02,3.02,3.02,3.02,3.02,9.9,9.9
Reserves,9.16,13.19,41.85,41.16,41.58,46.47,46.43
Borrowings,1.67,69.92,1.74,3.18,1.74,1.69,5.09
Other Liabilities,1.54,9.64,19.41,25.09,22.3,26.91,29.08
Total Liabilities,15.39,95.77,66.02,72.45,68.64,84.97,90.5
Fixed Assets,0.05,14.55,8.9,13.42,12.7,12.17,11.92
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,2.17,1.37,4.16,4.01,0.59,0.59,3.59
Other Assets,13.17,79.85,52.96,55.02,55.35,72.21,74.99
Total Assets,15.39,95.77,66.02,72.45,68.64,84.97,90.5
