,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Revenue,1032.0,1413.0,1641.0,1940.0,2854.0
Interest,458.0,621.0,720.0,793.0,1017.0
Expenses,538.0,646.0,879.0,1248.0,1676.0
Financing Profit,35.0,146.0,43.0,-101.0,160.0
Financing Margin %,3.0,10.0,3.0,-5.0,6.0
Other Income,109.0,133.0,127.0,208.0,288.0
Depreciation,17.0,23.0,29.0,33.0,42.0
Profit before tax,127.0,256.0,141.0,74.0,406.0
Tax %,29.0,26.0,25.0,26.0,26.0
Net Profit,90.0,190.0,105.0,55.0,302.0
EPS in Rs,2.11,4.45,2.34,1.22,6.73
