,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,12.0,12.0,20.29,20.29,20.29,24.86,24.86,24.86
Reserves,0.0,0.0,-3.48,-5.37,-13.3,-14.98,-14.67,-11.89
Borrowings,60.0,68.52,71.27,67.87,74.77,67.92,65.98,76.63
Other Liabilities,11.46,12.97,6.03,5.92,4.44,4.66,3.86,3.52
Total Liabilities,83.46,93.49,94.11,88.71,86.2,82.46,80.03,93.12
Fixed Assets,0.08,0.07,92.26,86.41,79.76,73.11,66.75,63.45
CWIP,76.39,90.74,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,6.99,2.68,1.85,2.3,6.44,9.35,13.28,29.67
Total Assets,83.46,93.49,94.11,88.71,86.2,82.46,80.03,93.12
