,2021-03-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.00,8.05,6.26,11.74,11.1
Expenses,0.97,5.71,3.24,6.55,3.96
Operating Profit,-0.97,2.34,3.02,5.19,7.14
OPM %,,29.07,48.24,44.21,64.32
Other Income,0.00,0.01,0.16,-0.14,0.0
Interest,0.88,0.79,0.78,0.8,1.38
Depreciation,3.32,3.32,3.3,3.34,3.31
Profit before tax,-5.17,-1.76,-0.9,0.91,2.45
Tax %,0.00,0.0,0.0,-34.07,-13.47
Net Profit,-5.17,-1.76,-0.9,1.22,2.78
EPS in Rs,-2.55,-0.71,-0.36,0.49,1.12
