,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,73,73,73,73,74,74,74,74,74
Reserves,837,1093,1258,1340,1440,1511,1516,1402,1398
Borrowings,173,117,116,75,136,88,120,107,149
Other Liabilities,200,183,203,245,271,433,474,604,604
Total Liabilities,1283,1467,1650,1733,1921,2106,2184,2186,2224
Fixed Assets,247,245,230,301,330,330,323,358,357
CWIP,3,4,10,12,10,16,20,35,41
Investments,795,995,1114,1071,1183,1416,1514,1423,1459
Other Assets,239,223,296,350,399,344,327,370,367
Total Assets,1283,1467,1650,1733,1921,2106,2184,2186,2224
