,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,191.0,213.0,323.0,290.0,273
Expenses,167.0,187.0,289.0,266.0,247
Operating Profit,24.0,26.0,34.0,24.0,26
OPM %,12.0,12.0,10.0,8.0,9
Other Income,2.0,-0.0,4.0,2.0,2
Interest,4.0,4.0,7.0,6.0,7
Depreciation,7.0,8.0,9.0,10.0,10
Profit before tax,14.0,15.0,21.0,9.0,10
Tax %,21.0,17.0,14.0,14.0,
Net Profit,11.0,12.0,18.0,8.0,9
EPS in Rs,3.22,3.37,4.92,2.02,2.21
