,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,12,12,12,40,40
Reserves,57,67,90,81,85
Borrowings,52,86,84,76,82
Other Liabilities,19,32,35,30,29
Total Liabilities,140,197,222,226,236
Fixed Assets,58,87,94,99,102
CWIP,14,0,0,13,7
Investments,0,0,0,0,2
Other Assets,68,109,128,115,126
Total Assets,140,197,222,226,236
