,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,62.22,58.86,57.92,57.63,57.63,57.59,57.49,57.49
FIIs,9.48,11.16,9.87,9.59,9.94,9.97,9.89,10.72
DIIs,18.75,22.26,24.48,24.55,24.4,24.66,25.2,24.36
Government,0.04,0.03,0.05,0.11,0.2,0.15,0.03,0.03
Public,9.51,7.68,7.68,8.12,7.83,7.63,7.4,7.41
No. of Shareholders,1518711.0,1573070.0,1455377.0,2446100.0,2686848.0,2982372.0,2993298.0,3029116.0
