,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,22,23,23,23,42,53,53,53
Reserves,636,1037,1106,574,480,697,857,851
Borrowings,604,745,824,2162,1755,958,1265,1274
Other Liabilities,946,1371,1571,1673,1424,1558,1497,1636
Total Liabilities,2208,3176,3524,4433,3701,3267,3672,3814
Fixed Assets,340,532,537,1234,1045,661,865,870
CWIP,0,1,11,1,0,0,2,1
Investments,82,0,0,0,0,0,0,0
Other Assets,1786,2643,2975,3197,2656,2605,2805,2942
Total Assets,2208,3176,3524,4433,3701,3267,3672,3814
