,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-146,-78,175,206,-70,300,317
Cash from Investing Activity,-703,-145,-132,-118,-49,-9,-28
Cash from Financing Activity,855,226,-46,-85,113,-209,-198
Net Cash Flow,6,4,-3,3,-6,82,91
