,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1292,4219,4644.0,3614.0,1912.0,3056.0,4421.0,4543
Expenses,1218,3977,4350.0,3390.0,1911.0,2864.0,3949.0,4046
Operating Profit,74,242,294.0,224.0,1.0,192.0,472.0,497
OPM %,6,6,6.0,6.0,0.0,6.0,11.0,11
Other Income,2,5,4.0,-2.0,-134.0,-67.0,49.0,45
Interest,34,96,131.0,278.0,183.0,135.0,155.0,158
Depreciation,43,139,153.0,421.0,238.0,233.0,239.0,253
Profit before tax,-1,12,13.0,-477.0,-554.0,-242.0,127.0,131
Tax %,1310,-12,-67.0,16.0,-8.0,2.0,32.0,
Net Profit,15,13,21.0,-399.0,-596.0,-237.0,87.0,83
EPS in Rs,,,1.48,-35.31,-51.08,-20.19,2.76,1.82
