,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,10.64,15.79,24.6,24.04
Expenses,10.49,15.51,23.49,21.14
Operating Profit,0.15,0.28,1.11,2.9
OPM %,1.41,1.77,4.51,12.06
Other Income,0.0,0.0,0.02,0.03
Interest,0.0,0.01,0.02,0.06
Depreciation,0.02,0.04,0.06,0.13
Profit before tax,0.13,0.23,1.05,2.74
Tax %,76.92,21.74,25.71,25.55
Net Profit,0.04,0.17,0.78,2.04
EPS in Rs,40.0,170.0,780.0,6.8
