,2011-03-01,2012-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,1,1,1,6,8,8,8,8,11,11
Reserves,1,2,4,4,5,2,11,14,17,19,17,19
Borrowings,7,13,17,18,19,19,14,21,26,35,42,48
Other Liabilities,1,1,2,2,2,3,5,7,7,35,69,70
Total Liabilities,9,16,23,25,27,30,39,50,57,96,139,149
Fixed Assets,6,7,14,14,16,15,24,25,29,64,99,95
CWIP,0,2,1,0,0,3,0,5,5,4,6,9
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,3,7,9,11,11,12,14,21,23,29,34,44
Total Assets,9,16,23,25,27,30,39,50,57,96,139,149
