,2017-09-01,2022-06-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,15.01,24.81,25.69,25.54,29.19,31.92
Expenses,11.46,18.63,19.69,17.92,21.57,23.95
Operating Profit,3.55,6.18,6.0,7.62,7.62,7.97
OPM %,23.65,24.91,23.36,29.84,26.1,24.97
Other Income,0.09,0.42,0.33,0.22,0.09,0.73
Interest,1.13,1.74,2.14,2.48,2.45,2.73
Depreciation,0.9,3.63,3.8,4.49,4.29,4.65
Profit before tax,1.61,1.23,0.39,0.87,0.97,1.32
Tax %,26.71,25.2,38.46,72.41,24.74,7.58
Net Profit,1.18,0.92,0.24,0.24,0.73,1.22
EPS in Rs,13.11,0.8,0.21,0.21,0.64,1.06
