,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34
Reserves,53.09,39.89,28.53,17.23,-11.46,-3.16,4.14,-5.69,-10.92,-18.39,60.24,56.52,52.58
Borrowings,3.34,6.73,26.79,23.1,19.14,21.02,13.3,29.47,48.88,62.19,71.59,80.34,82.35
Other Liabilities,13.06,19.98,26.08,19.63,19.69,5.6,5.4,15.01,18.47,12.47,22.13,18.36,19.43
Total Liabilities,78.83,75.94,90.74,69.3,36.71,32.8,32.18,48.13,65.77,65.61,163.3,164.56,163.7
Fixed Assets,23.8,24.36,22.79,23.24,9.42,7.87,7.47,9.79,13.03,13.21,114.97,117.49,116.32
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.0,0.0,0.0,0.0,0.0
Investments,0.79,0.79,0.79,0.79,0.73,0.73,0.0,0.0,0.0,0.0,0.0,0.01,0.2
Other Assets,54.24,50.79,67.16,45.27,26.56,24.2,24.71,35.26,52.74,52.4,48.33,47.06,47.18
Total Assets,78.83,75.94,90.74,69.3,36.71,32.8,32.18,48.13,65.77,65.61,163.3,164.56,163.7
