,2022-09-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.00
Expenses,0.54,1.61,1.02
Operating Profit,-0.54,-1.61,-1.02
OPM %,,,
Other Income,0.00,0.41,-0.26
Interest,0.00,0.00,0.00
Depreciation,0.01,0.01,0.01
Profit before tax,-0.55,-1.21,-1.29
Tax %,0.00,-7.44,60.47
Net Profit,-0.55,-1.30,-0.50
EPS in Rs,-0.53,-0.61,-0.23
