,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,35,35,35,35,35,35,35,35
Reserves,647,800,964,955,1101,1260,1462,1634
Borrowings,288,394,541,621,609,694,657,761
Other Liabilities,175,299,310,571,606,770,657,746
Total Liabilities,1144,1527,1851,2183,2351,2758,2810,3175
Fixed Assets,134,122,155,172,187,167,161,153
CWIP,0,17,2,17,0,2,11,40
Investments,518,634,740,847,1025,1190,1359,1558
Other Assets,492,756,954,1146,1138,1400,1280,1425
Total Assets,1144,1527,1851,2183,2351,2758,2810,3175
