,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,11.45,6.73,13.48,21.58,23.88,21.45,20.94,27.28,26.21,21.52,22.59,31.73,36.06
Expenses,10.92,6.88,12.86,20.67,23.13,20.2,19.67,25.15,23.65,20.11,21.0,28.05,31.98
Operating Profit,0.53,-0.15,0.62,0.91,0.75,1.25,1.27,2.13,2.56,1.41,1.59,3.68,4.08
OPM %,4.63,-2.23,4.6,4.22,3.14,5.83,6.06,7.81,9.77,6.55,7.04,11.6,11.31
Other Income,0.06,0.04,0.03,0.03,0.03,0.05,0.02,0.0,0.05,0.07,0.1,0.26,0.24
Interest,0.01,0.04,0.08,0.09,0.11,0.09,0.06,0.13,0.08,0.09,0.2,0.25,0.23
Depreciation,0.02,0.05,0.08,0.15,0.14,0.26,0.24,0.31,0.33,0.27,0.31,0.26,0.26
Profit before tax,0.56,-0.2,0.49,0.7,0.53,0.95,0.99,1.69,2.2,1.12,1.18,3.43,3.83
Tax %,33.93,5.0,20.41,34.29,35.85,32.63,36.36,28.99,26.36,23.21,24.58,26.53,
Net Profit,0.38,-0.2,0.4,0.45,0.34,0.64,0.63,1.2,1.63,0.86,0.89,2.52,2.79
EPS in Rs,380.0,-200.0,400.0,450.0,340.0,7.11,2.06,3.92,5.33,2.81,2.91,8.24,9.11
