,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,13.22,13.01,10.2,11.32,10.9,11.69,14.91,16.83,19.23
Expenses,11.71,11.93,9.66,10.45,10.45,10.54,13.19,14.86,17.12
Operating Profit,1.51,1.08,0.54,0.87,0.45,1.15,1.72,1.97,2.11
OPM %,11.42,8.3,5.29,7.69,4.13,9.84,11.54,11.71,10.97
Other Income,0.03,0.0,0.03,0.04,0.05,0.05,0.09,0.17,0.07
Interest,0.05,0.04,0.03,0.06,0.09,0.12,0.12,0.13,0.1
Depreciation,0.17,0.16,0.14,0.13,0.16,0.15,0.14,0.13,0.13
Profit before tax,1.32,0.88,0.4,0.72,0.25,0.93,1.55,1.88,1.95
Tax %,36.36,9.09,15.0,27.78,40.0,20.43,15.48,35.64,18.46
Net Profit,0.83,0.79,0.33,0.53,0.15,0.74,1.32,1.21,1.58
EPS in Rs,2.71,2.58,1.08,1.73,0.49,2.42,4.31,3.95,5.16
