,2020-03-01,2021-03-01,2023-03-01
Debtor Days,88.83,43.94,70.38
Inventory Days,39.53,44.76,86.93
Days Payable,194.09,120.65,161.82
Cash Conversion Cycle,-65.73,-31.95,-4.51
Working Capital Days,14.29,14.95,27.89
ROCE %,,-5.39,
