,2022-09-01,2023-09-01
Sales,39.75,51.64
Expenses,36.35,47.21
Operating Profit,3.4,4.43
OPM %,8.55,8.58
Other Income,0.78,0.06
Interest,1.06,0.91
Depreciation,1.11,1.39
Profit before tax,2.01,2.19
Tax %,49.25,45.21
Net Profit,1.56,1.73
EPS in Rs,6.78,1.57
