,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,245.0,279.0,288.0,411.0,524
Expenses,176.0,209.0,217.0,327.0,411
Operating Profit,70.0,70.0,71.0,84.0,112
OPM %,28.0,25.0,25.0,20.0,21
Other Income,4.0,3.0,4.0,1.0,3
Interest,2.0,2.0,2.0,3.0,1
Depreciation,9.0,11.0,12.0,13.0,14
Profit before tax,63.0,61.0,61.0,70.0,100
Tax %,32.0,13.0,-2.0,27.0,
Net Profit,43.0,54.0,62.0,51.0,74
EPS in Rs,42.13,54.44,62.8,51.97,74.35
