,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,96.0,144,158,132
Inventory Days,351.0,165,235,209
Days Payable,77.0,66,113,108
Cash Conversion Cycle,370.0,242,280,232
Working Capital Days,158.0,146,137,127
ROCE %,,19,17,17
