,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,32,53,74,30
Cash from Investing Activity,-15,-12,-61,-33
Cash from Financing Activity,-16,-38,-7,25
Net Cash Flow,1,3,6,22
