,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14,20,12.0,160.0,226
Expenses,13,19,11.0,147.0,204
Operating Profit,1,1,1.0,13.0,21
OPM %,6,7,8.0,8.0,9
Other Income,-0,0,-0.0,0.0,0
Interest,0,0,0.0,2.0,3
Depreciation,0,0,0.0,2.0,3
Profit before tax,1,1,1.0,10.0,16
Tax %,34,35,24.0,28.0,
Net Profit,0,1,1.0,7.0,11
EPS in Rs,,,55.0,4.35,6.37
