,2022-09-01,2023-03-01,2023-09-01
Promoters,51.85,51.85,48.96
FIIs,2.11,0.37,0.0
DIIs,0.33,0.0,0.0
Government,0.0,0.01,0.0
Public,45.71,47.77,51.04
No. of Shareholders,743.0,927.0,1390.0
