,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,100,100,100,200,200,200,250,240,240,240,240
Reserves,1325,1576,1707,1838,2014,2222,2383,2152,2248,2363,2341
Borrowings,0,0,173,83,55,48,47,37,28,5,5
Other Liabilities,2211,1929,2531,2678,2901,2956,3262,3408,3326,3381,3177
Total Liabilities,3636,3605,4511,4799,5170,5426,5943,5837,5842,5991,5764
Fixed Assets,198,212,476,406,402,478,590,584,560,552,542
CWIP,20,26,34,5,2,4,4,15,58,101,130
Investments,228,226,220,328,133,141,261,289,205,130,131
Other Assets,3190,3141,3781,4060,4633,4803,5088,4948,5020,5208,4960
Total Assets,3636,3605,4511,4799,5170,5426,5943,5837,5842,5991,5764
