,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.31,1.31,1.31,14.29,14.29,14.29,14.29,14.29
Reserves,7.73,9.88,10.87,1.66,0.0,3.79,5.32,6.82
Borrowings,26.59,21.5,12.73,14.85,10.35,8.86,7.32,3.71
Other Liabilities,16.88,21.82,13.88,4.45,8.03,8.68,9.78,10.0
Total Liabilities,52.51,54.51,38.79,35.25,32.67,35.62,36.71,34.82
Fixed Assets,26.09,24.51,8.39,8.58,8.83,9.16,10.51,10.12
CWIP,0.03,0.0,0.0,0.0,0.6900000000000001,1.32,0.29,0.0
Investments,0.12,0.05,3.78,11.38,11.43,11.58,11.81,12.15
Other Assets,26.27,29.95,26.62,15.29,11.72,13.56,14.1,12.55
Total Assets,52.51,54.51,38.79,35.25,32.67,35.62,36.71,34.82
