,2023-09-01
Depreciation,0.67
EPS in Rs,1.05
Expenses,33.85
Interest,0.64
Net Profit,1.5
OPM %,7.08
Operating Profit,2.58
Other Income,0.42
Profit before tax,1.69
Sales,36.43
Tax %,30.77
