,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,50.84,63.35,58.13,44.27,38.93,54.33,68.66
Expenses,48.42,58.24,53.96,45.47,37.65,49.52,63.27
Operating Profit,2.42,5.11,4.17,-1.2,1.28,4.81,5.39
OPM %,4.76,8.07,7.17,-2.71,3.29,8.85,7.85
Other Income,2.53,2.79,0.76,0.12,1.14,0.86,1.54
Interest,3.41,2.69,1.36,1.28,1.91,1.32,1.27
Depreciation,2.54,2.34,1.2,0.67,1.14,1.15,1.21
Profit before tax,-1.0,2.87,2.37,-3.03,-0.63,3.2,4.45
Tax %,-56.0,21.6,25.74,29.7,-169.84,-13.75,30.56
Net Profit,-1.57,8.94,2.26,-1.96,-1.65,3.79,3.32
EPS in Rs,-12.71,66.92,17.3,-1.37,-1.15,2.65,2.32
