,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,54.26,5.28,0.81,1.69,0.53,3.22,6.54
Cash from Investing Activity,-52.35,1.6800000000000002,1.01,-4.1,-0.93,-1.41,-0.33
Cash from Financing Activity,-1.8,-7.07,-1.91,5.59,-2.84,-1.93,-6.2
Net Cash Flow,0.11,-0.12,-0.09,3.18,-3.24,-0.12,0.02
