,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,1.44,2.48,3.84,10.95
Expenses,1.95,2.53,3.15,6.37
Operating Profit,-0.51,-0.05,0.69,4.58
OPM %,-35.42,-2.02,17.97,41.83
Other Income,0.00,0.00,0.00,0.14
Interest,0.00,0.00,0.00,0.26
Depreciation,0.07,0.07,0.10,0.1
Profit before tax,-0.58,-0.12,0.59,4.36
Tax %,3.45,8.33,-5.08,27.06
Net Profit,-0.55,-0.11,0.62,3.18
EPS in Rs,,,,9.21
