,2022-09-01,2023-09-01
Sales,1.57,5.77
Expenses,2.72,4.63
Operating Profit,-1.15,1.14
OPM %,-73.25,19.76
Other Income,0.00,0.34
Interest,0.00,0.31
Depreciation,0.00,0.18
Profit before tax,-1.15,0.99
Tax %,0.00,19.19
Net Profit,-1.15,0.8
EPS in Rs,,1.26
