,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,17,17,20,26,26,26,26,26,26,26,26.0,26.0
Reserves,335,583,714,823,529,173,-809,-2231,-3044,-3309,-4199.0,-5148.0
Preference Capital,2,5,5,2,0,16,32,36,36,41,,
Borrowings,1573,2317,3090,4184,3822,4098,4437,4691,4538,5127,4308.0,4436.0
Other Liabilities,505,773,825,572,541,752,1316,2021,3234,3057,4762.0,5754.0
Total Liabilities,2429,3690,4649,5605,4918,5048,4969,4507,4754,4901,4896.0,5067.0
Fixed Assets,535,1094,2852,1240,1015,958,1314,1216,1126,908,3664.0,3714.0
CWIP,599,796,0,2269,1532,1826,1759,2052,2366,2563,0.0,0.0
Investments,15,98,88,101,206,229,49,42,34,28,22.0,22.0
Other Assets,1280,1703,1708,1994,2165,2036,1848,1196,1229,1402,1210.0,1331.0
Total Assets,2429,3690,4649,5605,4918,5048,4969,4507,4754,4901,4896.0,5067.0
