,2022-03-01,2023-03-01,2023-09-01
Promoters,62.35,62.21,62.13
FIIs,11.4,14.06,14.83
DIIs,20.38,2.59,2.78
Public,5.88,21.15,20.27
No. of Shareholders,140814.0,131365.0,136988.0
