,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,79,79,79,95,95,99,100,100
Reserves,442,506,620,1614,1885,2817,3240,3440
Borrowings,306,840,1603,2022,2515,2728,3796,4317
Other Liabilities,18,40,61,16,26,39,41,35
Total Liabilities,845,1465,2362,3747,4520,5684,7176,7892
Fixed Assets,5,4,4,10,10,12,15,20
CWIP,0,0,0,0,0,0,0,0
Investments,1,45,0,0,53,102,51,51
Other Assets,840,1416,2358,3737,4458,5570,7110,7820
Total Assets,845,1465,2362,3747,4520,5684,7176,7892
