,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,0.0,0,0,0,0,0,0
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,0.0,0,0,0,0,0,0
Working Capital Days,-5.0,-56,-8,-9,-7,-7,-1
ROCE %,,14,14,14,13,14,15
